"Incident ID","Incident Date",State,"City Or County",Address,"Victims Killed","Victims Injured","Suspects Killed","Suspects Injured","Suspects Arrested",Operations
3035486,"September 27, 2024",Tennessee,Chattanooga,"4700 block of TN-58",0,2,0,0,0,N/A
3035466,"September 27, 2024",Iowa,"Des Moines","Ingersoll Ave and 28th St",0,3,0,0,0,N/A
3035324,"September 27, 2024",Utah,"Salt Lake City (South Salt Lake)","E 3350 S and State St",0,1,0,0,1,N/A
3036203,"September 27, 2024",Virginia,Richmond,"Boston Ave and Richmond Hwy",0,1,0,0,0,N/A
3035443,"September 27, 2024",Alabama,Dadeville,"Freeman Dr",0,1,0,0,0,N/A
3035436,"September 27, 2024","West Virginia",Moundsville,N/A,0,1,0,0,1,N/A
3035433,"September 27, 2024",Kentucky,Louisville,"1600 block of Dumesnil St",1,0,0,0,0,N/A
3035430,"September 27, 2024",Illinois,Chicago,"5035 W Wrightwood Ave",0,2,0,0,0,N/A
3035297,"September 27, 2024",Kentucky,Lexington,"1318 Russell Cave Rd",0,1,0,0,0,N/A
3036190,"September 27, 2024","New York",Rochester,"Ave R",0,1,0,0,0,N/A
3036188,"September 27, 2024","New York",Rochester,"St Paul St and Seth Green Dr",0,1,0,0,0,N/A
3036179,"September 27, 2024",California,Stockton,"Navy Dr and W Charter Way",0,1,0,0,0,N/A
3035405,"September 27, 2024",Georgia,Newnan,"Berry Ave",0,1,0,0,0,N/A
3035816,"September 27, 2024",Illinois,Plano,"3800 block of Pratt St",1,0,1,0,0,N/A
3036170,"September 27, 2024",California,"Elk Grove","10428 E Stockton Blvd",0,2,0,0,0,N/A
3036165,"September 27, 2024",California,"National City","2340 National City Blvd",0,0,1,0,0,N/A
3035216,"September 27, 2024","New York","White Plains","N Lexington Ave and Hamilton Ave",0,1,0,0,0,N/A
3035954,"September 27, 2024",California,Oroville,CA-70,0,1,0,0,0,N/A
3036153,"September 27, 2024",Tennessee,Memphis,"3960 New Covington Pike",1,0,0,0,0,N/A
3036145,"September 27, 2024","New York",Brooklyn,"985 Rockaway Ave",0,0,0,0,0,N/A
3035359,"September 27, 2024",Ohio,Columbus,"127 E 5th Ave",0,2,0,0,0,N/A
3036141,"September 27, 2024","New York","Corona (Queens)","221-12 S Conduit Ave",0,1,0,0,0,N/A
3036130,"September 27, 2024","North Carolina",Fayetteville,"Kaywood Dr",0,2,0,0,0,N/A
3036112,"September 27, 2024","North Carolina",Salisbury,"N Ellis St",1,0,0,0,0,N/A
3035459,"September 27, 2024","District of Columbia",Washington,"1300 block of S Capitol St and N St SW",1,0,0,0,0,N/A
3035085,"September 27, 2024",Alabama,"Bessemer (Brighton)",N/A,1,0,0,0,0,N/A
3036043,"September 27, 2024",Arizona,Maricopa,"W Homestead Dr and N Continental Blvd",0,1,0,0,0,N/A
3036030,"September 27, 2024",Georgia,Smyrna,"2500 S Cobb Dr",0,2,1,0,0,N/A
3036024,"September 27, 2024",Pennsylvania,Philadelphia,"717 W Luzerne St",0,1,0,0,1,N/A
3035199,"September 27, 2024",California,Sylmar,"14112 Hubbard St",0,1,0,0,0,N/A
3035997,"September 27, 2024",Louisiana,Merrydale,"Grayson Ave and Benson Dr",3,0,0,2,2,N/A
3035183,"September 27, 2024",Louisiana,Lafayette,"320 Devalcourt St",0,0,0,0,1,N/A
3035774,"September 27, 2024",Louisiana,Shreveport,"4310 Illinois Ave",0,4,0,0,0,N/A
3035956,"September 27, 2024",Michigan,Flushing,"E Main St and N Maple St",0,1,0,0,1,N/A
3035940,"September 27, 2024",Florida,Tallahassee,"220 W Tennessee St",1,0,0,0,0,N/A
3035938,"September 27, 2024",Florida,"Daytona Beach","700 block of Hawk St",0,1,0,0,0,N/A
3035125,"September 27, 2024",Missouri,"Saint Charles","I-70 and S River Rd",0,3,0,0,0,N/A
3035523,"September 27, 2024",Maryland,Baltimore,"2500 block of Greenmount Ave",0,1,0,0,0,N/A
3035518,"September 27, 2024",Maryland,Baltimore,"1600 block of Homestead St",0,1,0,0,0,N/A
3035905,"September 27, 2024",Maryland,Baltimore,"5700 block of Loch Raven Blvd",0,1,0,0,0,N/A
3035867,"September 27, 2024",Illinois,Chicago,"7700 S Loomis Blvd",0,1,0,0,0,N/A
3035894,"September 27, 2024",Illinois,Chicago,"7400 S Racine Ave",0,1,0,0,0,N/A
3035888,"September 27, 2024",Maryland,Baltimore,"900 block of Bethune Rd",0,0,0,0,0,N/A
3035121,"September 27, 2024","New York","New York (Manhattan)","W 132nd St and 5th Ave",0,1,0,0,0,N/A
3035116,"September 27, 2024",Mississippi,Tunica,"1655 Beatline Rd",0,1,1,0,0,N/A
3035861,"September 27, 2024",Delaware,Bridgeville,"21000 block of Mill Park Dr",0,1,0,0,0,N/A
3035812,"September 27, 2024",California,"Panorama City","14696 Parthenia St",0,1,0,0,0,N/A
3035829,"September 27, 2024",Illinois,Chicago,"5308 N Lincoln Ave",0,1,0,0,0,N/A
3035096,"September 27, 2024",Illinois,Rockford,"4365 11th St",0,1,0,0,0,N/A
3035807,"September 27, 2024",Illinois,Rockford,"922 Kilburn Ave",0,2,0,0,0,N/A
3035767,"September 27, 2024",Texas,Austin,"500 W Canyon Ridge Dr",1,0,0,0,0,N/A
3035761,"September 27, 2024",Arizona,Tucson,"E Pima St and N Wilmot Rd",0,1,0,0,0,N/A
3035759,"September 27, 2024",Texas,"Wichita Falls","Foxy Ln",0,1,0,0,0,N/A
3035721,"September 27, 2024",Wisconsin,Milwaukee,"330 Glenview Ave",0,1,0,0,0,N/A
3035703,"September 27, 2024",Massachusetts,Boston,"Harvard St",0,1,0,0,0,N/A
3035631,"September 27, 2024",Texas,Houston,"18700 block of Jasper Ridge Dr",0,1,0,0,0,N/A
3035627,"September 27, 2024",Texas,Houston,"23600 block of Katy Fwy",1,0,0,0,0,N/A
3035618,"September 26, 2024",Arizona,Tucson,"500 block of W Irvington Rd",1,0,0,0,0,N/A
3035641,"September 26, 2024",Texas,Houston,"7702 Ave I",1,0,0,0,1,N/A
3034999,"September 26, 2024",Ohio,Cleveland,"E 147th St",0,1,0,0,0,N/A
3036243,"September 26, 2024",Texas,"Fort Worth","3100 Bridge Hill Dr",0,1,0,0,0,N/A
3034915,"September 26, 2024",California,"Los Angeles","2718 Cincinnati St",0,1,0,0,0,N/A
3034903,"September 26, 2024",Oregon,Umatilla,"Pine Tree Ave",0,1,0,0,0,N/A
3034908,"September 26, 2024",California,"Los Angeles","W Adams Blvd and Mont Clair St",0,1,0,0,0,N/A
3035568,"September 26, 2024",Texas,"La Marque","5201 Gulf Fwy",0,1,0,0,0,N/A
3034738,"September 26, 2024",Wisconsin,Milwaukee,"W Stark St and N 29th St",0,1,0,0,0,N/A
3034740,"September 26, 2024",Wisconsin,Milwaukee,"N 84th St and W Hope Ave",0,1,0,0,1,N/A
3034662,"September 26, 2024",Georgia,Atlanta,"1154 Booker Ave SW",0,1,0,0,1,N/A
3034861,"September 26, 2024",Minnesota,Minneapolis,"3200 block of 29th Ave S",0,1,0,0,0,N/A
3035543,"September 26, 2024",Maryland,Annapolis,"100 block of Georgetown Rd",1,0,0,0,0,N/A
3034839,"September 26, 2024",Kentucky,Louisville,"S 41st St and W Market St",0,1,0,0,0,N/A
3034803,"September 26, 2024",Illinois,Chicago,"3121 S Lawndale Ave",0,1,0,0,0,N/A
3035514,"September 26, 2024",Pennsylvania,Philadelphia,"900 block of E Schiller St",0,1,0,0,0,N/A
3035591,"September 26, 2024",Texas,Beaumont,"3500 block of Bennett Rd",1,0,0,0,1,N/A
3035400,"September 26, 2024","South Carolina",Florence,"700 block of S Dargan St",1,0,0,0,0,N/A
3035313,"September 26, 2024",Kentucky,Georgetown,"300 block of E Washington St",1,0,0,0,1,N/A
3035113,"September 26, 2024",California,Oakland,"3400 block of Wilson Ave",1,0,0,0,0,N/A
3034376,"September 26, 2024",Colorado,Pueblo,"1104 Pueblo Blvd Way",1,0,0,0,0,N/A
3034527,"September 26, 2024","North Carolina",Charlotte,"1700 block of Eastcrest Dr",1,0,0,0,1,N/A
3034650,"September 26, 2024","New York",Brooklyn,"985 Rockaway Ave",0,0,0,0,2,N/A
3035362,"September 26, 2024","North Carolina",Whiteville,"704 Nolan Ave",0,1,0,0,0,N/A
3035354,"September 26, 2024","North Carolina",Wilmington,"300 block of Campus Cove",1,0,0,0,1,N/A
3034702,"September 26, 2024",Georgia,Decatur,"5200 block of Truman Dr",1,0,0,0,1,N/A
3035301,"September 26, 2024",Ohio,Columbus,"E 5th Ave and Summit St",0,3,0,0,1,N/A
3034945,"September 26, 2024",Arkansas,Conway,"410 E 6th St",1,0,0,0,1,N/A
3034952,"September 26, 2024",Maryland,Baltimore,"600 block of W Franklin St",0,1,0,0,0,N/A
3035021,"September 26, 2024",Ohio,Columbus,"4100 block of Blendon Grove Way",1,0,0,0,1,N/A
3034347,"September 26, 2024","New York",Rochester,"636 Monroe Ave",0,1,0,0,0,N/A
3034798,"September 26, 2024",Alabama,"Birmingham (Center Point)","1100 Center Point Pkwy",0,0,0,1,0,N/A
3034371,"September 26, 2024",Florida,Orlando,"Florida's Tpke",0,1,0,0,1,N/A
3035255,"September 26, 2024",Florida,"Miami Gardens","NW 38th Pl and NW 165th St",0,0,0,1,0,N/A
3035251,"September 26, 2024",Florida,Jacksonville,"700 block of Eaverson St",1,0,0,0,0,N/A
3034596,"September 26, 2024",Massachusetts,Lawrence,"1 Mill St",0,1,0,0,1,N/A
3034607,"September 26, 2024",Massachusetts,Lawrence,"170 S Union St",0,2,0,0,0,N/A
3035247,"September 26, 2024",Florida,Jacksonville,"2100 block of Kings Park Dr",0,1,0,0,0,N/A
3035243,"September 26, 2024",Florida,"Pomona Park","E Main St",0,0,1,0,0,N/A
3036038,"September 26, 2024",Pennsylvania,Philadelphia,"2200 block of Larue St",0,1,0,0,0,N/A
3035004,"September 26, 2024",Ohio,Cleveland,"E 61st St",0,1,0,0,0,N/A
3034540,"September 26, 2024",Illinois,Chicago,"1318 W 91st St",0,1,0,0,0,N/A
3036019,"September 26, 2024",Pennsylvania,"Darby (Collingdale)","501 Jackson Ave",1,0,0,0,0,N/A
3034520,"September 26, 2024",Nevada,"Las Vegas","6400 block of Placer Dr",0,0,1,0,0,N/A
3035497,"September 26, 2024",Pennsylvania,Bethlehem,"1920 Butztown Rd",1,0,0,0,1,N/A
3034700,"September 26, 2024",Georgia,Brunswick,"2400 block of Reynolds St",1,0,0,0,0,N/A
3035415,"September 26, 2024",Illinois,"Calumet City","400 Merrill Ave",1,0,0,0,0,N/A
3035191,"September 26, 2024",Louisiana,"Baton Rouge","3300 block of Hollywood St",1,0,0,0,0,N/A
3035163,"September 26, 2024",California,"Los Angeles","Fulcher Ave and Burbank Blvd",0,1,0,0,0,N/A
3034398,"September 26, 2024",Illinois,Chicago,"4255 N Knox Ave",0,4,0,0,0,N/A
3035157,"September 26, 2024",Louisiana,"New Orleans","Tullis Dr and Woodland Pkwy",0,1,0,0,0,N/A
3034938,"September 26, 2024",Mississippi,Picayune,"130 Highland Pkwy",1,0,1,0,0,N/A
3034764,"September 26, 2024",California,Napa,"790 Lincoln Ave",2,0,0,1,1,N/A
3035878,"September 26, 2024","New York",Oneonta,"47 Chestnut St",1,0,0,0,0,N/A
3035123,"September 26, 2024","New York","New York (Manhattan)","W 163rd St and Broadway",0,1,0,0,0,N/A
3035065,"September 26, 2024",Indiana,Indianapolis,"1000 block of Udell St",0,1,0,0,0,N/A
3035101,"September 26, 2024",Illinois,Chicago,"7816 S Phillips Ave",0,1,0,0,0,N/A
3034364,"September 26, 2024","New York",Bronx,"W 179th St and Cedar Ave",0,3,0,0,0,N/A
3035098,"September 26, 2024",Oregon,Portland,"NW Couch St and NW 8th Ave",0,1,0,0,0,N/A
3035091,"September 26, 2024",Oklahoma,Tulsa,"Memorial Dr and E 81st St",0,1,0,0,0,N/A
3035087,"September 26, 2024",Oklahoma,Mustang,"W Elder Dr and S Heights Dr",0,1,0,0,1,N/A
3035083,"September 26, 2024",Oregon,Portland,"7000 block of NE 17th Ave",0,0,0,1,1,N/A
3034485,"September 26, 2024",Louisiana,Hahnville,"100 block of Nicholas St",0,0,1,0,0,N/A
3034901,"September 26, 2024",California,Fremont,"40400 block of Grimmer Blvd",1,0,0,0,1,N/A
3034963,"September 26, 2024",Idaho,Pocatello,"1800 Bench Rd",0,0,0,0,0,N/A
3034978,"September 26, 2024",Wyoming,"Rock Springs","1375 James Dr",0,0,0,0,1,N/A
3035059,"September 26, 2024",Illinois,Chicago,"7500 block of S Stony Island Ave",0,3,0,0,0,N/A
3035052,"September 26, 2024",Texas,"San Antonio","I-35 Frontage Rd and Binz Engleman Rd",0,1,0,0,0,N/A
3035030,"September 26, 2024",Ohio,Greenville,"700 block of Martin St",1,0,0,0,1,N/A
3035754,"September 26, 2024",Arizona,Flagstaff,"200 block of W Aspen Ave",0,1,0,0,0,N/A
3035749,"September 26, 2024",Virginia,Richmond,"200 block of Richmond Hwy",1,0,0,0,0,N/A
3034188,"September 25, 2024",Alabama,Birmingham,"9917 Pkwy E",0,1,0,0,0,N/A
